key,ko,en
sentiment.interested,[NO TRANSLATION] filters.sentiment.interested,[NO TRANSLATION] filters.sentiment.interested
sentiment.negative,[NO TRANSLATION] filters.sentiment.negative,[NO TRANSLATION] filters.sentiment.negative
sentiment.neutral,[NO TRANSLATION] filters.sentiment.neutral,[NO TRANSLATION] filters.sentiment.neutral
sentiment.notInterested,[NO TRANSLATION] filters.sentiment.notInterested,[NO TRANSLATION] filters.sentiment.notInterested
sentiment.pending,[NO TRANSLATION] filters.sentiment.pending,[NO TRANSLATION] filters.sentiment.pending
sentiment.positive,[NO TRANSLATION] filters.sentiment.positive,[NO TRANSLATION] filters.sentiment.positive
