key,ko,en
filter.category.newsletter,[NO TRANSLATION] email-templates.filter.category.newsletter,[NO TRANSLATION] email-templates.filter.category.newsletter
filter.category.notification,[NO TRANSLATION] email-templates.filter.category.notification,[NO TRANSLATION] email-templates.filter.category.notification
filter.category.promotion,[NO TRANSLATION] email-templates.filter.category.promotion,[NO TRANSLATION] email-templates.filter.category.promotion
filter.category.transaction,[NO TRANSLATION] email-templates.filter.category.transaction,[NO TRANSLATION] email-templates.filter.category.transaction
filter.category.welcome,[NO TRANSLATION] email-templates.filter.category.welcome,[NO TRANSLATION] email-templates.filter.category.welcome
filter.private,[NO TRANSLATION] email-templates.filter.private,[NO TRANSLATION] email-templates.filter.private
filter.shared,[NO TRANSLATION] email-templates.filter.shared,[NO TRANSLATION] email-templates.filter.shared
